YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL
1901,49.2,87.1,29.2,2.3,528.8,517.5,365.1
1902,0,159.8,12.2,0,446.1,537.1,228.9
1903,12.7,144,0,1,235.1,479.9,728.4
1904,9.4,14.7,0,202.4,304.5,495.1,502
